repoName,branch,javaVersion,style,buildTool,buildAction,skip,skipReason
0ffz/gpr-for-gradle,master,8,,gradle,,,
0opslab/opslabJutil,master,8,,maven,,,
105032013072/javaparser,master,8,,maven,,,
15189611/jumpAop,master,8,,gradlew,,,
18824863285/BaseFlutter,master,8,,gradlew,,,
1and1/cosmo,master,8,,maven,,,
1and1/reactive,master,8,,maven,,,
1c-syntax/bslls-dev-tools,develop,8,,gradlew,,,
275593469/study,master,8,,maven,,,
2dxgujun/AndroidTagGroup,master,8,,gradlew,,true,Build uses Gradle 2.x
2pure/CodeDesign-HomeWork1,master,8,,maven,,,
38leinaD/tdd-gradle-plugin,master,8,,gradlew,,true,Build uses Gradle 4.x prior to 4.10 and the artifactory plugin does not support these builds.
3esi/dotnet-plugin,master,8,,gradle,,,
3esi/gitversion-plugin,master,8,,gradle,,,
3redronin/mu-server,master,8,,maven,,,
41north/gradle-flatbuffers-plugin,master,8,,gradlew,,,
41north/gradle-intellij-run-generator-plugin,master,8,,gradlew,,,
41north/gradle-solidity-plugin,master,8,,gradlew,,,
451817970-qq-com/coffee,master,8,,maven,,,
4INCENSE/geha-sajang-backend,develop,8,,gradlew,,,
4face-studi0/EasyGradle,master,8,,gradlew,,,
4finance/uptodate-gradle-plugin,master,8,,gradlew,,true,Build uses Gradle 2.x
505519551/unifig,master,8,,maven,,,
52North/OX-Framework,develop,8,,maven,,,
52North/OpenSensorSearch,master,8,,maven,,,
52North/SOS,develop,8,,maven,,,
52North/WPS,dev,8,,maven,,,
52North/arctic-sea,master,8,,maven,,,
52North/javaPS,develop,8,,maven,,,
52North/javaps-iohandler,master,8,,maven,,,
52North/matlab-control,master,8,,maven,,,
52North/movingcode,master,8,,maven,,,
52North/sensorweb-server-helgoland,develop,8,,maven,,,
52North/youngs,master,8,,maven,,,
5wimming/gadgetinspector,main,8,,gradlew,,,
5z1punch/lgtm-demo,master,8,,maven,,,
601729260/hibernate-orm-5.0.12,master,8,,gradlew,,true,Build uses Gradle 2.x
616slayer616/closure-stylesheets,master,8,,gradlew,,,
616slayer616/gradle-minify-plugin,master,8,,gradlew,,,
7040210/SuperBoot,master,8,,maven,,,
81813780/AVLoadingIndicatorView,master,8,,gradlew,,true,Build uses Gradle 2.x
81813780/gradle-publish-plugin,master,8,,gradlew,,,
83xoeryleon/test_fastjson,master,8,,maven,,,
88250/solo,master,11,,maven,,,
8God/TwoBirdsExerHost,master,8,,gradlew,,true,Build uses Gradle 3.x
94fzb/zrlog,master,8,,maven,,,
ACRA/acra,master,11,,gradlew,,,
ADTRAN/gradle-betablocker-plugin,main,8,,gradlew,,,
ADTRAN/gradle-scala-multiversion-plugin,main,8,,gradlew,,,
AEFeinstein/mtg-familiar,master,11,,gradlew,,,
AKSW/KBox,master,8,,maven,,,
AOEpeople/gradle-jenkins-job-dsl-plugin,master,8,,gradlew,,,
ATLauncher/ATLauncher,master,8,,gradlew,,,
AbrahamCaiJin/CommonUtilLibrary,master,8,,gradlew,,,
Activiti/Activiti,develop,8,,maven,,,
AddstarMC/Minigames,master,8,,maven,,,
Adobe-Consulting-Services/acs-aem-commons,master,8,,maven,,,
Adobe-Marketing-Cloud/aem-htl-ide-api,master,8,,maven,,,
AdoptOpenJDK/IcedTea-Web,master,8,,maven,,,
AdoptOpenJDK/jitwatch,master,8,,gradlew,,,
Aefyr/SAI,master,8,,gradlew,,,
Aharonabadi/fs-agent,master,8,,maven,,,
Aharonabadi/jenkins-tests,main,8,,maven,,,
Aharonabadi/myhadoop,main,8,,maven,,,
AidenY/LocalReader,master,8,,maven,,,
AigeStudio/WheelPicker,master,8,,gradlew,,,
